HID,BIO03_Mean,TN10P_IDW1N10,GSL_IDW1N10,TNX_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10
84713,18.376067,0.001013,0.068764,6.173581,213.26432,15.400065,96.319508,9.216311,16.344816,170.751926
84633,18.842423,0.0,0.114588,6.360536,213.898318,16.684755,100.98432,9.731803,17.111325,169.68995
84470,18.973482,0.0009,0.251916,7.449575,211.713983,16.876052,104.838947,9.244139,17.592775,152.172372
84390,19.111836,0.004079,0.45261,8.202814,211.441243,19.941851,115.979921,9.297804,18.152612,136.323814
84309,19.298955,0.010791,1.061872,8.832518,210.302935,22.54074,124.935024,9.792815,18.283562,128.364306
84228,20.088569,0.005404,0.384517,9.35531,206.503825,21.87556,122.435464,10.813136,18.257738,128.905347
84147,19.04557,0.007514,0.857325,9.169879,206.134056,23.092385,127.2292,9.573547,18.596755,130.218655
84066,20.464981,0.006843,0.760137,9.343064,202.691019,26.74956,143.668098,11.160891,18.965554,138.547653
83985,21.376866,0.004574,1.175195,9.327844,191.877927,23.543263,135.302739,12.719517,19.552888,158.601149
83904,20.694115,0.001942,0.833154,9.371907,203.33673,24.33766,135.590384,11.728094,19.655052,142.299301
83823,21.329057,0.001751,3.684006,9.889393,198.790664,26.554831,147.581212,13.710072,20.393414,146.224368
83741,20.984435,0.002468,3.148341,9.539437,196.40176,22.362491,127.80966,11.627649,19.870381,148.110431
83661,21.215794,0.002459,4.81529,10.232138,192.25374,26.357866,145.937042,12.587288,20.186976,144.64515
83580,22.061884,0.001252,8.756724,10.750525,176.918936,23.598632,139.966897,13.211716,20.192761,156.45988
83498,21.282791,0.006367,8.041455,10.783344,188.390294,25.093898,142.231191,12.180462,20.180534,138.77574
83418,22.392182,0.005173,12.663423,11.296966,176.5669,24.333276,144.521742,12.595464,19.868765,145.745841
83336,21.629995,0.015765,11.253653,10.79588,179.204564,24.491306,141.165319,11.345618,19.590731,146.095559
83255,22.40883,0.009196,17.394867,11.599966,173.044647,25.779967,150.85102,12.164319,19.880454,143.020214
83093,22.425155,0.021622,26.454574,12.225947,171.358624,25.33521,150.877743,11.473296,19.783084,133.987327
83012,23.821582,0.012196,38.725718,12.910595,160.500532,23.467997,151.042354,11.870095,20.413157,139.351015
82931,22.504111,0.034749,32.084642,12.429805,168.131111,24.726416,149.827969,11.148976,19.884058,134.564839
82850,23.781622,0.014859,53.008959,13.870442,158.132897,24.817283,156.342666,11.339724,20.338598,130.478306
82768,22.575663,0.039187,52.731754,13.495228,160.868717,23.402483,145.834194,10.693507,20.147315,128.413994
82688,23.657625,0.017363,70.079401,14.446938,151.580092,24.381898,154.63293,10.825587,20.349749,130.052055
82607,24.534696,0.007364,76.430951,14.326018,140.898808,21.473942,143.792815,10.889986,20.545104,142.632885
82606,22.74147,0.03716,63.562438,14.076432,156.084353,23.907271,145.719198,10.348032,20.174613,126.949073
82525,23.38599,0.012687,81.966714,14.869347,145.908012,22.521315,147.186326,10.709958,20.562204,130.74332
82524,22.021308,0.040929,65.655865,13.775015,149.014244,24.201947,136.627281,10.131193,20.955251,131.199112
82444,22.875976,0.026847,78.142947,14.260366,143.134734,24.00792,144.715961,10.484081,20.896647,135.173021
